"brand_name","product_name","for_username","overall_videos_viewcount_of_channel","subscribers_channel","first_five_video_avg_of_channel","engagement_rate_of_channel","video_views","video_duration","category","video_type","video_cost"
"mStock","mStock Trading App","@moneytalkswithpayal","6548590","79000","1246","1.6","4830","2024-08-16 00:08:20","Finance","Dedicated","13000"
"mStock","mStock Trading App","@ispeakaboutmoney","8386685","116000","2766","2.4","7031","2024-08-16 00:08:08","Finance","Integrated","10000"
"mStock","mStock Trading App","@marketsupport","39396854","221000","2236","1","1697","2024-08-16 00:08:13","Finance","Dedicated","20000"
"mStock","mStock Trading App","@optionsence","2388954","26500","713","2.7","851","2024-08-16 00:13:03","Finance/Trading","Dedicated","5000"
"mStock","mStock Trading App","@stock4retail","73289194","776000","43515","5.6","24888","2024-08-16 00:14:23","Finance","Integrated","9000"
"mStock","mStock Trading App","@ankitjainofficial","3791191","45900","322","0.7","4673","2024-08-16 00:10:34","Finance","Dedicated","15000"
"mStock","mStock Trading App","@abhipancholivideos","620388","83600","590","0.7","959","2024-08-16 00:10:35","Finance","Dedicated","11000"
"mStock","mStock Trading App","@missionmarketchannel","29256205","126000","11009","8.7","6841","2024-08-16 00:15:46","Finance","Dedicated","8000"
"mStock","mStock Trading App","@stockmarketbadshah","23658119","115000","1530","1.3","892","2024-08-16 00:10:23","Finance","Dedicated","7000"
"mStock","mStock Trading App","@chargingpointhindi","29134952","237000","18839","7.9","1615","2024-08-16 00:06:06","Finance","Dedicated","15000"
"mStock","mStock Trading App","@becomeinvestor","13030609","82700","1013","1.2","1137","2024-08-16 00:13:27","Finance","Dedicated","22000"
"mStock","mStock Trading App","@investmentwithtarun","11477545","113000","4408","3.9","1244","2024-08-16 00:05:11","Finance","Dedicated","17000"
"mStock","mStock Trading App","@lts","25396548","236000","9199","3.9","969","2024-08-16 00:09:16","Finance","Dedicated","6000"
"mStock","mStock Trading App","@lts","25396548","236000","9198","3.9","1227","2024-08-16 00:13:47","Finance","Dedicated","7000"
"mStock","mStock Trading App","@investmentwithtarun","11477545","113000","4408","3.9","1529","2024-08-16 00:09:20","Finance","Dedicated","5000"
"mStock","mStock Trading App","@camanojkumarjain","80805679","601000","20092","3.3","2231","2024-08-16 00:09:11","Finance","Integrated","2500"
"mStock","mStock Trading App","@namaskarprasad","421502948","2470000","47624","1.9","2879","2024-08-16 00:10:07","Finance","Dedicated","22000"
"mStock","mStock Trading App","@moneytalkswithpayal","6548590","79000","1247","1.6","1493","2024-08-16 00:05:58","Finance","Dedicated","5500"
"mStock","mStock Trading App","@money_matters","7969650","140000","14322","10.2","439","2024-08-16 00:18:57","Finance/Trading","Dedicated","10000"
"mStock","mStock Trading App","@viveksinghrana51","21449259","177000","3027","1.7","1835","2024-08-16 00:08:02","Finance/Trading","Integrated","6000"
"mStock","mStock Trading App","@viveksinghrana51","21449259","177000","3027","1.7","4180","2024-08-16 00:09:03","Finance","Dedicated","20000"
"mStock","mStock Trading App","@sharemarketinkannada","3266551","32100","1396","4.3","3695","2024-08-16 00:12:54","Finance","Dedicated","15000"
"mStock","mStock Trading App","@unboxingodisha","20703281","284000","2838","1","1606","2024-08-16 00:10:39","Finance/Trading","Dedicated","5000"
"mStock","mStock Trading App","@harshearningtips","23009064","103000","16643","16.2","3193","2024-08-16 00:13:01","Finance","Dedicated","15000"
"mStock","mStock Trading App","@technoearnz","4459978","106000","27110","25.6","1577","2024-08-16 00:06:09","Finance","Dedicated","15000"
"mStock","mStock Trading App","@viveksinghrana51","21449259","177000","3027","1.7","2244","2024-08-16 00:11:01","Finance","Dedicated","15000"
"mStock","mStock Trading App","@chartwithtrade","1763326","26400","641","2.4","5719","2024-08-16 00:08:47","Finance","Dedicated","17000"
"mStock","mStock Trading App","@hindifinancialeducation","28597368","351000","1891","0.5","1388","2024-08-16 00:08:31","Finance","Dedicated","8000"
"mStock","mStock Trading App","@swingtraderatul","7216289","323000","11745","3.6","1434","2024-08-16 00:10:07","Finance","Integrated","7000"
"mStock","mStock Trading App","@viveksinghrana51","21449259","177000","3027","1.7","30806","2024-08-16 00:16:02","Finance","Integrated","9000"
"mStock","mStock Trading App","@punjiguide","1583450","16100","2990","18.6","4137","2024-08-16 00:09:00","Finance","Dedicated","13000"
"mStock","mStock Trading App","@hindifinancialeducation","28597368","351000","1891","0.5","1538","2024-08-16 00:05:19","Finance","Dedicated","17000"
"mStock","mStock Trading App","@sharemarketinkannada","3266551","32100","1396","4.3","510","2024-08-16 00:09:37","Finance","Dedicated","12000"
"mStock","mStock Trading App","@viveksinghrana51","21449259","177000","3027","1.7","1746","2024-08-16 00:06:50","Finance","Integrated","17000"
"mStock","mStock Trading App","@yaxcrypto","481231","3460","775","22.4","24064","2024-08-16 00:16:21","Finance","Integrated","9000"
"mStock","mStock Trading App","@fiacrypto","664148","6230","992","15.9","2690","2024-08-16 00:13:20","Finance","Dedicated","13000"
"mStock","mStock Trading App","@harshearningtips","23009064","103000","16643","16.2","9423","2024-08-16 00:09:29","Finance","Dedicated","15000"
"mStock","mStock Trading App","@MoneyTalksWithPayal","90587","17600","1247","7.1","6536","2024-08-16 00:16:26","Finance","Dedicated","13000"
"mStock","mStock Trading App","@sharemarketinkannada","3266551","32100","1396","4.3","12549","2024-08-16 00:08:29","Finance/Trading","Integrated","15000"
"mStock","mStock Trading App","@cryptoearn18","5454874","29100","2868","9.9","57272","2024-08-16 00:15:35","Finance","Integrated","9000"
"mStock","mStock Trading App","@earningbeast99","5478372","84200","8929","10.6","3807","2024-08-16 00:08:37","Trading","Dedicated","9000"
"mStock","mStock Trading App","@earningbeast99","5478372","84200","8929","10.6","5252","2024-08-16 00:13:31","Trading","Dedicated","7000"
"mStock","mStock Trading App","@cryptoearn18","5454874","29100","2868","9.9","4493","2024-08-16 00:12:58","Finance","Dedicated","15000"
"mStock","mStock Trading App","@dhruvearner","13897931","301000","19951","6.6","8492","2024-08-16 00:13:58","Finance","Dedicated","13000"
"mStock","mStock Trading App","@cuteupdate","736862","107000","10038","9.4","64414","2024-08-16 00:13:08","Finance/Trading","Integrated","9000"
"mStock","mStock Trading App","@earningbeast99","5478372","84200","8929","10.6","4241","2024-08-16 00:16:25","Trading","Dedicated","10000"
"mStock","mStock Trading App","@viveksinghrana51","21449259","177000","3027","1.7","12549","2024-08-16 00:08:29","Finance/Trading","Integrated","15000"
"mStock","mStock Trading App","@sathish_speaks_","4219732","84700","3899","4.6","1779","2024-08-16 00:09:42","Finance/Trading","Dedicated","15000"
"mStock","mStock Trading App","@mrscalperg","23857106","294000","11912","4.1","1846","2024-08-16 00:11:05","Finance/Trading","Dedicated","6000"
"mStock","mStock Trading App","@ffreedomapptelugu","1130622795","3410000","484020","14.2","2285","2024-08-16 00:10:10","Tech","Integrated","5000"
"mStock","mStock Trading App","@ffreedomapptelugu","1130622795","3410000","484020","14.2","21484","2024-08-16 00:12:17","Finance","Integrated","8000"
"mStock","mStock Trading App","@techreporttelugu","83816421","448000","15091","3.4","35976","2024-08-16 00:08:22","Tech","Integrated","20000"
"mStock","mStock Trading App","@vibrationsofmind","37833467","235000","10032","4.3","4747","2024-08-16 00:09:53","Finance","Dedicated","20000"
"mStock","mStock Trading App","@moneytalkswithpayal","6548590","79000","1250","1.6","5176","2024-08-16 00:09:56","Finance","Dedicated","13000"
"mStock","mStock Trading App","@vibrationsofmind","37833467","235000","10032","4.3","1886","2024-08-16 00:11:54","Finance","Dedicated","7000"
"mStock","mStock Trading App","@cashitijgupta","17672095","123000","4087","3.3","2861","2024-08-16 00:06:24","Finance","Dedicated","17000"
"mStock","mStock Trading App","@lts","25396548","236000","9199","3.9","1391","2024-08-16 00:11:15","Finance","Dedicated","7000"
"mStock","mStock Trading App","@cashitijgupta","17672095","123000","4087","3.3","14282","2024-08-16 00:09:07","Finance","Integrated","15000"
"mStock","mStock Trading App","@ffreedomapptelugu","1130622795","3410000","484020","14.2","828","2024-08-16 00:06:18","Finance","Dedicated","15000"
"mStock","mStock Trading App","@viveksinghrana51","21449259","177000","3027","1.7","1241","2024-08-16 00:05:41","Finance","Dedicated","4500"
"mStock","mStock Trading App","@trade2day","1766087","26000","650","2.5","1015","2024-08-16 00:11:01","Finance","Dedicated","7000"
"mStock","mStock Trading App","@theharshdalal","5699665","68900","1826","2.6","1398","2024-08-16 00:08:13","Finance","Dedicated","10000"
"mStock","mStock Trading App","@theharshdalal","5699665","68900","1826","2.6","2849","2024-08-16 00:11:08","Finance","Dedicated","20000"
"mStock","mStock Trading App","@moneytalkswithpayal","6548590","79000","1250","1.6","1965","2024-08-16 00:11:21","Finance","Dedicated","13000"
"mStock","mStock Trading App","@tonifinance","28194969","281000","6704","2.4","957","2024-08-16 00:07:17","Finance","Dedicated","7000"
"mStock","mStock Trading App","@tradingkannada","2465164","59100","2924","4.9","12517","2024-08-16 00:11:06","Finance","Integrated","7000"
"mStock","mStock Trading App","@money_matters","7969650","140000","14322","10.2","6354","2024-08-16 00:15:09","Finance","Integrated","4000"
"mStock","mStock Trading App","@missionmarketchannel","29256205","126000","11019","8.7","3560","2024-08-16 00:11:05","Finance","Dedicated","5000"
"mStock","mStock Trading App","@thebullofdalalstreet","5335716","57100","1671","2.9","18035","2024-08-16 00:14:52","Finance","Integrated","15000"
"mStock","mStock Trading App","@investmentwithtarun","11477545","113000","4408","3.9","4055","2024-08-16 00:08:11","Finance","Dedicated","17000"
"mStock","mStock Trading App","@himanshutrader","946953","25800","2051","8","2827","2024-08-16 00:06:26","Finance","Dedicated","10000"
"mStock","mStock Trading App","@deekayfinancials","4441302","294000","9399","3.2","4402","2024-08-16 00:10:48","Finance","Integrated","20000"
"mStock","mStock Trading App","@7dreamsindiaofficial","8492641","228000","2788","1.2","3200","2024-08-16 00:13:22","Finance","Integrated","15000"
"mStock","mStock Trading App","@stockmarketbadshah","23658119","115000","1532","1.3","1647","2024-08-16 00:10:37","Finance","Dedicated","7000"
"mStock","mStock Trading App","@moneytalkswithpayal","6548590","79000","1251","1.6","5360","2024-08-16 00:13:44","Finance","Dedicated","13000"
"mStock","mStock Trading App","@shubh_kadam__","2636947","43400","1281","3","1214","2024-08-16 00:13:32","Finance","Dedicated","7000"
"mStock","mStock Trading App","@stock4retail","73289194","776000","34972","4.5","43789","2024-08-16 00:17:17","Finance","Integrated","9000"
"mStock","mStock Trading App","@swingtradertheartoflearning","31263073","91800","6367","6.9","16613","2024-08-16 00:11:13","Finance","Integrated","3000"
"mStock","mStock Trading App","@sharemarketanalysis","62896131","258000","2405","0.9","6055","2024-08-16 00:07:42","Finance","Dedicated","7000"
"mStock","mStock Trading App","@7dreamsindiaofficial","8492641","228000","2788","1.2","2229","2024-08-16 00:10:54","Finance","Integrated","15000"
"mStock","mStock Trading App","@hindistocknews","16427003","180000","983","0.5","660","2024-08-16 00:08:59","Finance","Dedicated","16000"
"mStock","mStock Trading App","@tonifinance","28194969","281000","6704","2.4","649","2024-08-16 00:05:35","Finance","Dedicated","6000"
"mStock","mStock Trading App","@sharetradeepoint","1941116","51700","6495","12.6","2492","2024-08-16 00:13:21","Finance","Dedicated","5000"
"mStock","mStock Trading App","@rsfintech","5850242","55700","8986","16.1","13505","2024-08-16 00:15:36","Finance","Integrated","8000"
"mStock","mStock Trading App","@investwiddeepak","5850721","67200","13958","20.8","38774","2024-08-16 00:11:51","Finance","Integrated","12000"
"mStock","mStock Trading App","@moneytalkswithpayal","6548590","79000","1251","1.6","4177","2024-08-16 00:16:28","Finance","Dedicated","13000"
"mStock","mStock Trading App","@theharshdalal","5699665","68900","1826","2.6","1893","2024-08-16 00:11:58","Finance","Dedicated","10000"
"mStock","mStock Trading App","@theanalystdeep","1689825","35800","1562","4.4","5478","2024-08-16 00:17:48","Finance","Integrated","10000"
"mStock","mStock Trading App","@sanjeevsinghania1940","3773789","33500","218","0.7","1214","2024-08-16 00:25:48","Finance","Integrated","4000"
"mStock","mStock Trading App","@theharshdalal","5699665","68900","1826","2.6","3040","2024-08-16 00:15:34","Finance","Dedicated","10000"
"mStock","mStock Trading App","@stock4retail","73289194","776000","34973","4.5","61308","2024-08-16 00:15:49","Finance","Integrated","9000"
"mStock","mStock Trading App","@stockgupshup","642873","10500","1164","11.1","1313","2024-08-16 00:09:46","Finance","Integrated","3000"
"mStock","mStock Trading App","@investwiddeepak","5850721","67200","13958","20.8","20051","2024-08-16 00:13:53","Finance","Integrated","12000"
"mStock","mStock Trading App","@ankitjain05","8370906","68600","3357","4.9","5820","2024-08-16 00:13:53","Finance","Dedicated","15000"
"mStock","mStock Trading App","@viveksinghrana51","21449259","177000","3027","1.7","1357","2024-08-16 00:14:40","Finance","Dedicated","4500"
"mStock","mStock Trading App","@shrija","1927438","52300","15906","30.4","11827","2024-08-16 00:07:33","Finance","Dedicated","10000"
"mStock","mStock Trading App","@trade2day","1766087","26000","650","2.5","2778","2024-08-16 00:08:01","Finance","Dedicated","7000"
"mStock","mStock Trading App","@hitechsharmaji2539","1612253","112000","17431","15.6","16443","2024-08-16 00:07:26","Finance","Integrated","6000"
"mStock","mStock Trading App","@missionmarketchannel","29256205","126000","11036","8.8","3796","2024-08-16 00:13:10","Finance","Dedicated","7500"
"mStock","mStock Trading App","@shubh_kadam__","2636947","43400","1281","3","3055","2024-08-16 00:18:58","Finance","Dedicated","7000"
"mStock","mStock Trading App","@chargingpointhindi","29134952","237000","18856","8","3264","2024-08-16 00:06:23","Finance","Dedicated","15000"
"mStock","mStock Trading App","@moneytalkswithpayal","6548590","79000","1255","1.6","4500","2024-08-16 00:15:21","Finance","Dedicated","13000"
"mStock","mStock Trading App","@stockmarketbadshah","23658119","115000","1534","1.3","2127","2024-08-16 00:12:44","Finance","Dedicated","7000"
"mStock","mStock Trading App","@theharshdalal","5699665","68900","1826","2.6","2814","2024-08-16 00:15:36","Finance","Dedicated","10000"
"mStock","mStock Trading App","@marketsupport","39396854","221000","2248","1","1971","2024-08-16 00:09:30","Finance","Dedicated","20000"
"mStock","mStock Trading App","@stock4retail","73289194","776000","35005","4.5","58850","2024-08-16 00:14:43","Finance","Integrated","9000"
"mStock","mStock Trading App","@theanalystdeep","1689825","35800","1562","4.4","5253","2024-08-16 00:15:52","Finance","Integrated","3000"
"mStock","mStock Trading App","@himanshutrader","946953","25800","2051","8","4281","2024-08-16 00:08:50","Finance","Dedicated","10000"
"mStock","mStock Trading App","@sharetradeepoint","1941116","51700","6495","12.6","2741","2024-08-16 00:09:31","Finance","Dedicated","5000"
"mStock","mStock Trading App","@shubh_kadam__","2636947","43400","1281","3","4272","2024-08-16 00:19:24","Finance","Dedicated","7000"
"mStock","mStock Trading App","@7dreamsindiaofficial","8492641","228000","2789","1.2","1972","2024-08-16 00:14:06","Finance","Integrated","15000"
"mStock","mStock Trading App","@missionmarketchannel","29256205","126000","11037","8.8","2637","2024-08-16 00:12:50","Finance","Dedicated","8000"
"mStock","mStock Trading App","@ankitjain05","8370906","68600","3357","4.9","8980","2024-08-16 00:12:12","Finance","Dedicated","15000"
"mStock","mStock Trading App","@viveksinghrana51","21449259","177000","3027","1.7","1597","2024-08-16 00:11:02","Finance","Dedicated","4500"
"mStock","mStock Trading App","@thebullofdalalstreet","5335716","57100","1671","2.9","20771","2024-08-16 00:10:11","Finance","Integrated","17000"
"mStock","mStock Trading App","@sharemarketanalysis","62896131","258000","1859","0.7","3774","2024-08-16 00:05:56","Finance","Dedicated","7000"
"mStock","mStock Trading App","@officialsandeepmishra","17707526","144000","8912","6.2","2845","2024-08-16 00:09:31","Trading","Dedicated","20000"
"mStock","mStock Trading App","@tradehunter458","3425788","96100","1443","1.5","9023","2024-08-16 00:18:20","Finance","Integrated","8000"
"mStock","mStock Trading App","@investwiddeepak","5850721","67200","13961","20.8","19209","2024-08-16 00:14:32","Finance","Integrated","12000"
"mStock","mStock Trading App","@swingtradertheartoflearning","31263073","91800","6408","7","12251","2024-08-16 00:13:56","Finance","Integrated","3000"
"mStock","mStock Trading App","@chargingpointhindi","29134952","237000","18856","8","15784","2024-08-16 00:10:48","Finance","Integrated","7000"
"mStock","mStock Trading App","@moneytalkswithpayal","6548590","79000","1255","1.6","3287","2024-08-16 00:17:48","Finance","Dedicated","13000"
"mStock","mStock Trading App","@theanalystdeep","1689825","35800","1562","4.4","2572","2024-08-16 00:16:53","Finance","Integrated","3000"
"mStock","mStock Trading App","@stock4retail","73289194","776000","35034","4.5","69977","2024-08-16 00:19:57","Finance","Integrated","9000"
"mStock","mStock Trading App","@theharshdalal","5699665","68900","1826","2.6","1678","2024-08-16 00:12:59","Finance","Dedicated","10000"
"mStock","mStock Trading App","@rsfintech","5850242","55700","8989","16.1","1504","2024-08-16 00:05:38","Finance","Dedicated","10000"
"mStock","mStock Trading App","@ankitjain05","8370906","68600","3357","4.9","521","2024-08-16 00:11:37","Finance","Dedicated","15000"
"mStock","mStock Trading App","@investmentwithtarun","11477545","113000","4408","3.9","2400","2024-08-16 00:06:26","Finance","Dedicated","20000"
"mStock","mStock Trading App","@investmentsolutionchannel","21675650","99300","3262","3.3","183","2024-08-16 00:07:10","Finance","Dedicated","5000"
"mStock","mStock Trading App","@makemoneymrk","3544154","42000","5972","14.2","405","2024-08-16 00:15:19","Finance","Dedicated","4000"
"mStock","mStock Trading App","@marketminati","3857819","21500","2278","10.6","225","2024-08-16 00:08:56","Finance","Dedicated","4000"
"mStock","mStock Trading App","@theinvestorsera","25389076","199000","15401","7.7","2108","2024-08-16 00:10:29","Finance","Dedicated","20000"
"mStock","mStock Trading App","@shubh_kadam__","2636947","43400","1281","3","511","2024-08-16 00:12:33","Finance","Dedicated","7000"
